run	Prop_VSO	Prop_SVO	Prop_SOV	n_agents	n_turns	n_conversations	n_gen	n_runs	prob_random	learn_as_talking	probScale
66	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
67	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
68	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
69	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
70	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
71	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
72	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
73	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
74	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
75	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
76	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
77	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
78	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
79	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
80	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
81	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
82	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
83	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
84	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
85	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
86	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
87	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
88	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
89	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
90	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
91	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
92	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
93	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
94	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
95	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
96	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
97	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
98	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
99	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
0	0.0	0.0	1.0	10	2	10	300	100	0	False	1
1	0.0	0.0	1.0	10	2	10	300	100	0	False	1
2	0.0	0.0	1.0	10	2	10	300	100	0	False	1
3	0.0	0.0	1.0	10	2	10	300	100	0	False	1
4	0.0	0.0	1.0	10	2	10	300	100	0	False	1
5	0.0	0.0	1.0	10	2	10	300	100	0	False	1
6	0.0	0.0	1.0	10	2	10	300	100	0	False	1
7	0.0	0.0	1.0	10	2	10	300	100	0	False	1
8	0.0	0.0	1.0	10	2	10	300	100	0	False	1
9	0.0	0.0	1.0	10	2	10	300	100	0	False	1
10	0.0	0.0	1.0	10	2	10	300	100	0	False	1
11	0.0	0.0	1.0	10	2	10	300	100	0	False	1
12	0.0	0.0	1.0	10	2	10	300	100	0	False	1
13	0.0	0.0	1.0	10	2	10	300	100	0	False	1
14	0.0	0.0	1.0	10	2	10	300	100	0	False	1
15	0.0	0.0	1.0	10	2	10	300	100	0	False	1
16	0.0	0.0	1.0	10	2	10	300	100	0	False	1
17	0.0	0.0	1.0	10	2	10	300	100	0	False	1
18	0.0	0.0	1.0	10	2	10	300	100	0	False	1
19	0.0	0.0	1.0	10	2	10	300	100	0	False	1
20	0.0	0.0	1.0	10	2	10	300	100	0	False	1
21	0.0	0.0	1.0	10	2	10	300	100	0	False	1
22	0.0	0.0	1.0	10	2	10	300	100	0	False	1
23	0.0	0.0	1.0	10	2	10	300	100	0	False	1
24	0.0	0.0	1.0	10	2	10	300	100	0	False	1
25	0.0	0.0	1.0	10	2	10	300	100	0	False	1
26	0.0	0.0	1.0	10	2	10	300	100	0	False	1
27	0.0	0.0	1.0	10	2	10	300	100	0	False	1
28	0.0	0.0	1.0	10	2	10	300	100	0	False	1
29	0.0	0.0	1.0	10	2	10	300	100	0	False	1
30	0.0	0.0	1.0	10	2	10	300	100	0	False	1
31	0.0	0.0	1.0	10	2	10	300	100	0	False	1
32	0.0	0.0	1.0	10	2	10	300	100	0	False	1
33	0.0	0.0	1.0	10	2	10	300	100	0	False	1
34	0.0	0.0	1.0	10	2	10	300	100	0	False	1
35	0.0	0.0	1.0	10	2	10	300	100	0	False	1
36	0.0	0.0	1.0	10	2	10	300	100	0	False	1
37	0.0	0.0	1.0	10	2	10	300	100	0	False	1
38	0.0	0.0	1.0	10	2	10	300	100	0	False	1
39	0.0	0.0	1.0	10	2	10	300	100	0	False	1
40	0.0	0.0	1.0	10	2	10	300	100	0	False	1
41	0.0	0.0	1.0	10	2	10	300	100	0	False	1
42	0.0	0.0	1.0	10	2	10	300	100	0	False	1
43	0.0	0.0	1.0	10	2	10	300	100	0	False	1
44	0.0	0.0	1.0	10	2	10	300	100	0	False	1
45	0.0	0.0	1.0	10	2	10	300	100	0	False	1
46	0.0	0.0	1.0	10	2	10	300	100	0	False	1
47	0.0	0.0	1.0	10	2	10	300	100	0	False	1
48	0.0	0.0	1.0	10	2	10	300	100	0	False	1
49	0.0	0.0	1.0	10	2	10	300	100	0	False	1
50	0.0	0.0	1.0	10	2	10	300	100	0	False	1
51	0.0	0.0	1.0	10	2	10	300	100	0	False	1
52	0.0	0.0	1.0	10	2	10	300	100	0	False	1
53	0.0	0.0	1.0	10	2	10	300	100	0	False	1
54	0.0	0.0	1.0	10	2	10	300	100	0	False	1
55	0.0	0.0	1.0	10	2	10	300	100	0	False	1
56	0.0	0.0	1.0	10	2	10	300	100	0	False	1
57	0.0	0.0	1.0	10	2	10	300	100	0	False	1
58	0.0	0.0	1.0	10	2	10	300	100	0	False	1
59	0.0	0.0	1.0	10	2	10	300	100	0	False	1
60	0.0	0.0	1.0	10	2	10	300	100	0	False	1
61	0.0	0.0	1.0	10	2	10	300	100	0	False	1
62	0.0	0.0	1.0	10	2	10	300	100	0	False	1
63	0.0	0.0	1.0	10	2	10	300	100	0	False	1
64	0.0	0.0	1.0	10	2	10	300	100	0	False	1
65	0.0	0.0	1.0	10	2	10	300	100	0	False	1
66	0.0	0.0	1.0	10	2	10	300	100	0	False	1
67	0.0	0.0	1.0	10	2	10	300	100	0	False	1
68	0.0	0.0	1.0	10	2	10	300	100	0	False	1
69	0.0	0.0	1.0	10	2	10	300	100	0	False	1
70	0.0	0.0	1.0	10	2	10	300	100	0	False	1
71	0.0	0.0	1.0	10	2	10	300	100	0	False	1
72	0.0	0.0	1.0	10	2	10	300	100	0	False	1
73	0.0	0.0	1.0	10	2	10	300	100	0	False	1
74	0.0	0.0	1.0	10	2	10	300	100	0	False	1
75	0.0	0.0	1.0	10	2	10	300	100	0	False	1
76	0.0	0.0	1.0	10	2	10	300	100	0	False	1
77	0.0	0.0	1.0	10	2	10	300	100	0	False	1
78	0.0	0.0	1.0	10	2	10	300	100	0	False	1
79	0.0	0.0	1.0	10	2	10	300	100	0	False	1
80	0.0	0.0	1.0	10	2	10	300	100	0	False	1
81	0.0	0.0	1.0	10	2	10	300	100	0	False	1
82	0.0	0.0	1.0	10	2	10	300	100	0	False	1
83	0.0	0.0	1.0	10	2	10	300	100	0	False	1
84	0.0	0.0	1.0	10	2	10	300	100	0	False	1
85	0.0	0.0	1.0	10	2	10	300	100	0	False	1
86	0.0	0.0	1.0	10	2	10	300	100	0	False	1
87	0.0	0.0	1.0	10	2	10	300	100	0	False	1
88	0.0	0.0	1.0	10	2	10	300	100	0	False	1
89	0.0	0.0	1.0	10	2	10	300	100	0	False	1
90	0.0	0.0	1.0	10	2	10	300	100	0	False	1
91	0.0	0.0	1.0	10	2	10	300	100	0	False	1
92	0.0	0.0	1.0	10	2	10	300	100	0	False	1
93	0.0	0.0	1.0	10	2	10	300	100	0	False	1
94	0.0	0.0	1.0	10	2	10	300	100	0	False	1
95	0.0	0.0	1.0	10	2	10	300	100	0	False	1
96	0.0	0.0	1.0	10	2	10	300	100	0	False	1
97	0.0	0.0	1.0	10	2	10	300	100	0	False	1
98	0.0	0.0	1.0	10	2	10	300	100	0	False	1
99	0.0	0.0	1.0	10	2	10	300	100	0	False	1
0	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
1	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
2	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
3	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
4	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
5	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
6	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
7	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
8	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
9	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
10	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
11	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
12	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
13	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
14	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
15	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
16	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
17	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
18	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
19	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
20	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
21	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
22	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
23	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
24	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
25	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
26	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
27	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
28	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
29	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
30	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
31	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
32	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
33	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
34	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
35	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
36	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
37	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
38	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
39	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
40	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
41	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
42	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
43	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
44	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
45	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
46	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
47	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
48	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
49	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
50	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
51	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
52	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
53	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
54	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
55	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
56	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
57	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
58	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
59	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
60	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
61	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
62	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
63	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
64	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
65	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
66	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
67	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
68	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
69	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
70	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
71	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
72	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
73	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
74	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
75	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
76	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
77	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
78	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
79	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
80	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
81	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
82	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
83	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
84	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
85	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
86	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
87	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
88	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
89	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
90	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
91	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
92	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
93	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
94	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
95	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
96	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
97	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
98	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
99	0.0	0.0	1.0	10	2	10	300	100	0	False	0.5
0	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
1	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
2	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
3	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
4	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
5	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
6	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
7	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
8	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
9	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
10	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
11	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
12	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
13	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
14	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
15	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
16	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
17	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
18	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
19	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
20	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
21	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
22	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
23	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
24	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
25	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
26	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
27	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
28	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
29	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
30	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
31	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
32	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
33	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
34	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
35	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
36	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
37	0.0	0.91	0.09	10	2	10	300	100	0	False	0.1
38	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
39	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
40	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
41	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
42	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
43	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
44	0.0	0.4	0.6	10	2	10	300	100	0	False	0.1
45	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
46	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
47	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
48	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
49	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
50	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
51	1.0	0.0	0.0	10	2	10	300	100	0	False	0.1
52	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
53	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
54	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
55	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
56	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
57	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
58	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
59	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
60	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
61	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
62	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
63	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
64	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
65	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
66	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
67	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
68	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
69	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
70	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
71	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
72	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
73	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
74	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
75	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
76	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
77	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
78	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
79	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
80	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
81	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
82	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
83	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
84	0.0	1.0	0.0	10	2	10	300	100	0	False	0.1
85	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
86	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
87	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
88	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
89	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
90	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
91	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
92	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
93	0.0	0.25	0.75	10	2	10	300	100	0	False	0.1
94	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
95	0.0	0.4	0.6	10	2	10	300	100	0	False	0.1
96	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
97	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
98	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
99	0.0	0.0	1.0	10	2	10	300	100	0	False	0.1
0	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
1	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
2	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
3	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
4	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
5	0.65	0.35	0.0	10	2	10	300	100	0	False	0.01
6	0.14	0.86	0.0	10	2	10	300	100	0	False	0.01
7	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
8	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
9	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
10	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
11	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
12	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
13	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
14	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
15	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
16	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
17	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
18	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
19	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
20	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
21	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
22	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
23	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
24	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
25	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
26	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
27	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
28	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
29	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
30	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
31	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
32	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
33	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
34	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
35	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
36	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
37	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
38	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
39	0.02	0.0	0.98	10	2	10	300	100	0	False	0.01
40	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
41	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
42	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
43	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
44	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
45	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
46	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
47	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
48	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
49	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
50	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
51	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
52	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
53	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
54	0.52	0.0	0.48	10	2	10	300	100	0	False	0.01
55	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
56	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
57	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
58	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
59	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
60	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
61	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
62	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
63	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
64	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
65	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
66	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
67	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
68	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
69	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
70	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
71	0.54	0.46	0.0	10	2	10	300	100	0	False	0.01
72	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
73	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
74	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
75	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
76	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
77	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
78	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
79	0.12	0.88	0.0	10	2	10	300	100	0	False	0.01
80	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
81	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
82	0.43	0.57	0.0	10	2	10	300	100	0	False	0.01
83	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
84	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
85	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
86	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
87	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
88	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
89	0.63	0.0	0.37	10	2	10	300	100	0	False	0.01
90	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
91	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
92	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
93	0.0	0.0	1.0	10	2	10	300	100	0	False	0.01
94	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
95	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
96	0.0	1.0	0.0	10	2	10	300	100	0	False	0.01
97	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
98	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
99	1.0	0.0	0.0	10	2	10	300	100	0	False	0.01
0	1.0	0.0	0.0	10	2	10	300	100	0	False	-0.5
1	1.0	0.0	0.0	10	2	10	300	100	0	False	-0.5
2	1.0	0.0	0.0	10	2	10	300	100	0	False	-0.5
3	1.0	0.0	0.0	10	2	10	300	100	0	False	-0.5
4	1.0	0.0	0.0	10	2	10	300	100	0	False	-0.5
5	1.0	0.0	0.0	10	2	10	300	100	0	False	-0.5
6	1.0	0.0	0.0	10	2	10	300	100	0	False	-0.5
